date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:46	32145/32145	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202020%2000:03:50%20GMT	https://syra.pikarthouse.com/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/index.html	(from )
21:01:46	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2002%20Feb%202020%2020:01:45%20GMT	https://syra.pikarthouse.com/robots.txt		(from )
21:01:47	96873/96873	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Aug%202019%2012:55:30%20GMT	https://syra.pikarthouse.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-includes/js/jquery/jquery4a5f.js	(from https://syra.pikarthouse.com/)
21:01:47	306788/306788	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jan%202020%2016:43:38%20GMT	https://syra.pikarthouse.com/wp-content/cache/autoptimize/1/css/autoptimize_d4cae71a84d69025489d73c1edf59692.css	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/cache/autoptimize/1/css/autoptimize_d4cae71a84d69025489d73c1edf59692.css	(from https://syra.pikarthouse.com/)
21:01:48	83/83	---M--	409	error ('Conflict')	text/html	date:Sun,%2002%20Feb%202020%2020:01:48%20GMT	https://syra.pikarthouse.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/xmlrpc0db0.php	(from https://syra.pikarthouse.com/)
21:01:48	9929/9929	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2023%20Nov%202019%2021:40:26%20GMT	https://syra.pikarthouse.com/comments/feed/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/comments/feed/index.html	(from https://syra.pikarthouse.com/)
21:01:49	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://syra.pikarthouse.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-includes/wlwmanifest.xml	(from https://syra.pikarthouse.com/)
21:01:49	79123/79123	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2010%20Jan%202020%2023:44:25%20GMT	https://syra.pikarthouse.com/feed/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/feed/index.html	(from https://syra.pikarthouse.com/)
21:01:49	93353/93353	---MC-	200	added ('OK')	application/json	date:Sun,%2002%20Feb%202020%2020:01:48%20GMT	https://syra.pikarthouse.com/wp-json/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-json/index.html	(from https://syra.pikarthouse.com/)
21:01:50	2185/2185	---MC-	200	added ('OK')	application/json	date:Sun,%2002%20Feb%202020%2020:01:49%20GMT	https://syra.pikarthouse.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsyra.pikarthouse.com%2F	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-json/oembed/1.0/embedf8d3.json	(from https://syra.pikarthouse.com/)
21:01:50	2284/2284	---MC-	200	added ('OK')	text/xml	date:Sun,%2002%20Feb%202020%2020:01:50%20GMT	https://syra.pikarthouse.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsyra.pikarthouse.com%2F&format=xml	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-json/oembed/1.0/embed356e	(from https://syra.pikarthouse.com/)
21:01:52	1297/1297	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Mar%202019%2014:50:22%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/03/cropped-favicon5-32x32.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/03/cropped-favicon5-32x32.jpg	(from https://syra.pikarthouse.com/)
21:01:52	3030/3030	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Mar%202019%2014:50:22%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/03/cropped-favicon5-192x192.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/03/cropped-favicon5-192x192.jpg	(from https://syra.pikarthouse.com/)
21:01:53	2920/2920	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Mar%202019%2014:50:22%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/03/cropped-favicon5-180x180.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/03/cropped-favicon5-180x180.jpg	(from https://syra.pikarthouse.com/)
21:01:53	16338/16338	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2016:43:39%20GMT	https://syra.pikarthouse.com/studio-showcase/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/studio-showcase/index.html	(from https://syra.pikarthouse.com/)
21:01:54	163267/163267	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2019:29:18%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/10/media_002.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/10/media_002.jpg	(from https://syra.pikarthouse.com/)
21:01:54	81586/81586	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Nov%202019%2020:13:06%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/11/media_125.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/11/media_125.jpg	(from https://syra.pikarthouse.com/)
21:01:54	28260/28260	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2016:43:41%20GMT	https://syra.pikarthouse.com/masonry-layout/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/masonry-layout/index.html	(from https://syra.pikarthouse.com/)
21:01:54	26248/26248	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2016:43:40%20GMT	https://syra.pikarthouse.com/parallax-grid/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/parallax-grid/index.html	(from https://syra.pikarthouse.com/)
21:01:55	69921/69921	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2019:29:22%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/10/media_004.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/10/media_004.jpg	(from https://syra.pikarthouse.com/)
21:01:55	17437/17437	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2016:44:33%20GMT	https://syra.pikarthouse.com/about-us/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/about-us/index.html	(from https://syra.pikarthouse.com/)
21:01:56	58831/58831	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2019:29:23%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/10/media_005.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/10/media_005.jpg	(from https://syra.pikarthouse.com/)
21:01:56	33386/33386	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2016:44:32%20GMT	https://syra.pikarthouse.com/journal/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/journal/index.html	(from https://syra.pikarthouse.com/)
21:01:58	30774/30774	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2016:44:33%20GMT	https://syra.pikarthouse.com/parallax-blog/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/parallax-blog/index.html	(from https://syra.pikarthouse.com/)
21:01:58	305196/305196	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2019:29:15%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/10/media_001.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/10/media_001.jpg	(from https://syra.pikarthouse.com/)
21:01:58	94862/94862	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2019:29:25%20GMT	https://syra.pikarthouse.com/wp-content/uploads/2019/10/media_006.jpg	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/wp-content/uploads/2019/10/media_006.jpg	(from https://syra.pikarthouse.com/)
21:01:58	83/83	---M--	409	error ('Conflict')	text/html	date:Sun,%2002%20Feb%202020%2020:01:58%20GMT	https://syra.pikarthouse.com/contact/	C:/My%20Web%20Sites/Portfolio%20AMZA/syra.pikarthouse.com/contact/index.html	(from https://syra.pikarthouse.com/)
